epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2191.7,0.77716,0.84063,1.02633,0.70351,0.75749,0.8037,0.65581,0.73544,0.79601,0.9718,0.000660045,0.000660045,0.000660045
43,2230.07,0.78169,0.84304,1.02481,0.7538,0.73748,0.80109,0.67177,0.69227,0.82653,0.95066,0.000649046,0.000649046,0.000649046
44,2264.29,0.78104,0.84174,1.02648,0.80346,0.68862,0.81075,0.66901,0.71788,0.81801,0.9665,0.000638047,0.000638047,0.000638047
45,2297.31,0.77206,0.8174,1.02344,0.80862,0.74648,0.83796,0.68573,0.71164,0.73737,0.97072,0.000627048,0.000627048,0.000627048
46,2329.64,0.75948,0.81613,1.01772,0.85269,0.72051,0.83341,0.69367,0.69296,0.73543,0.95975,0.000616049,0.000616049,0.000616049
47,2361.92,0.76205,0.81581,1.01851,0.84536,0.71956,0.82791,0.69072,0.68308,0.74231,0.95112,0.000605051,0.000605051,0.000605051
48,2400.28,0.75889,0.80687,1.01973,0.74316,0.74803,0.81139,0.67414,0.68944,0.79759,0.95562,0.000594052,0.000594052,0.000594052
49,2437.32,0.75514,0.7966,1.01445,0.77085,0.74237,0.81924,0.68718,0.68626,0.76542,0.95218,0.000583053,0.000583053,0.000583053
50,2475.71,0.75067,0.78545,1.00762,0.80458,0.74559,0.83818,0.69151,0.70063,0.74133,0.94988,0.000572054,0.000572054,0.000572054
51,2514.14,0.75077,0.81129,1.01725,0.79568,0.73959,0.82924,0.69059,0.68642,0.75828,0.94611,0.000561055,0.000561055,0.000561055
52,2547.34,0.76935,0.80575,1.01538,0.82076,0.72943,0.8287,0.68223,0.68481,0.75152,0.95477,0.000550056,0.000550056,0.000550056
53,2580.06,0.74741,0.78935,1.01204,0.82398,0.71347,0.82438,0.68284,0.67965,0.79691,0.94479,0.000539057,0.000539057,0.000539057
54,2612.85,0.76577,0.79266,1.01683,0.85858,0.7183,0.83048,0.6849,0.67891,0.73511,0.94907,0.000528058,0.000528058,0.000528058
55,2645.54,0.75236,0.79028,1.01821,0.82753,0.71065,0.83685,0.6951,0.69284,0.77542,0.95388,0.000517059,0.000517059,0.000517059
56,2680.48,0.74333,0.79049,1.00676,0.83209,0.76117,0.8399,0.70482,0.69501,0.73292,0.95033,0.00050606,0.00050606,0.00050606
57,2713.81,0.73362,0.7775,1.01225,0.84398,0.7477,0.84374,0.70411,0.67639,0.71003,0.9466,0.000495062,0.000495062,0.000495062
58,2746.81,0.7401,0.76416,1.00487,0.73229,0.73995,0.82434,0.69624,0.65729,0.73731,0.93956,0.000484063,0.000484063,0.000484063
59,2779.47,0.72568,0.74469,1.00398,0.87182,0.73153,0.84559,0.70328,0.67869,0.70986,0.95557,0.000473064,0.000473064,0.000473064
60,2812.68,0.73154,0.77023,1.00074,0.82583,0.7215,0.84853,0.71445,0.66081,0.71387,0.94507,0.000462065,0.000462065,0.000462065
61,2845.65,0.7236,0.7565,1.00805,0.84947,0.72192,0.84058,0.68996,0.69935,0.74639,0.95445,0.000451066,0.000451066,0.000451066
62,2878.51,0.74284,0.75542,1.00876,0.87908,0.75303,0.85785,0.70252,0.68805,0.69118,0.95499,0.000440067,0.000440067,0.000440067
63,2914.05,0.73785,0.74172,1.0089,0.84474,0.73354,0.83601,0.70129,0.67861,0.73689,0.95542,0.000429068,0.000429068,0.000429068
64,2947.67,0.73867,0.75385,1.01408,0.85661,0.73102,0.84848,0.70074,0.689,0.72447,0.95727,0.000418069,0.000418069,0.000418069
65,2980.64,0.72596,0.74607,1.00275,0.8614,0.71737,0.8454,0.70362,0.70058,0.74047,0.95392,0.00040707,0.00040707,0.00040707
66,3012.73,0.72512,0.72858,0.99798,0.82088,0.73364,0.84553,0.71189,0.68513,0.7074,0.9466,0.000396071,0.000396071,0.000396071
67,3044.85,0.72554,0.73879,1.00389,0.89337,0.7295,0.86056,0.72102,0.68086,0.6605,0.94543,0.000385073,0.000385073,0.000385073
68,3077.12,0.72254,0.73586,1.00137,0.86311,0.70699,0.8453,0.70689,0.68406,0.723,0.94851,0.000374074,0.000374074,0.000374074
69,3111.87,0.72578,0.74317,1.00447,0.81604,0.76187,0.84365,0.71539,0.65857,0.70051,0.94394,0.000363075,0.000363075,0.000363075
70,3145.09,0.73268,0.75111,1.00552,0.85387,0.722,0.84385,0.71001,0.66802,0.71159,0.93958,0.000352076,0.000352076,0.000352076
71,3177.66,0.71844,0.73428,0.99694,0.80248,0.72337,0.83528,0.70397,0.67893,0.71206,0.94934,0.000341077,0.000341077,0.000341077
72,3210.63,0.70825,0.71318,0.99851,0.81163,0.74361,0.84908,0.71623,0.67159,0.70576,0.93822,0.000330078,0.000330078,0.000330078
73,3242.72,0.72006,0.71558,0.99815,0.77962,0.76578,0.8431,0.70164,0.68566,0.71059,0.95277,0.000319079,0.000319079,0.000319079
74,3278.61,0.70949,0.72389,0.99345,0.86714,0.72933,0.84874,0.70916,0.68952,0.66829,0.95518,0.00030808,0.00030808,0.00030808
75,3321.42,0.70685,0.7126,0.99269,0.8701,0.7139,0.84603,0.70685,0.67327,0.68966,0.94346,0.000297081,0.000297081,0.000297081
76,3355.78,0.70614,0.71712,0.99574,0.86627,0.72396,0.83199,0.70343,0.66991,0.72476,0.94219,0.000286083,0.000286083,0.000286083
77,3389.32,0.71806,0.70686,0.99726,0.83318,0.74257,0.84017,0.70343,0.67345,0.6863,0.94203,0.000275084,0.000275084,0.000275084
78,3421.79,0.69041,0.69214,0.98597,0.85498,0.74248,0.8422,0.70924,0.66906,0.69513,0.94177,0.000264085,0.000264085,0.000264085
79,3454.9,0.70862,0.70166,1.00134,0.8528,0.68935,0.82942,0.70651,0.66777,0.73254,0.93624,0.000253086,0.000253086,0.000253086
80,3487.15,0.70528,0.70092,0.99147,0.85403,0.74153,0.8455,0.71803,0.65746,0.66341,0.93519,0.000242087,0.000242087,0.000242087
81,3520.53,0.68936,0.69507,0.99493,0.85136,0.71064,0.82996,0.69452,0.6792,0.73002,0.94963,0.000231088,0.000231088,0.000231088
82,3558.07,0.70296,0.68388,0.9926,0.78041,0.74088,0.83223,0.7006,0.6558,0.70103,0.94126,0.000220089,0.000220089,0.000220089
83,3624.75,0.69249,0.69151,0.98854,0.86855,0.72231,0.84241,0.70542,0.67326,0.69603,0.94502,0.00020909,0.00020909,0.00020909
84,3674.35,0.69582,0.68596,0.99282,0.86758,0.72061,0.84009,0.70586,0.66298,0.72958,0.94041,0.000198091,0.000198091,0.000198091
85,3716.35,0.67769,0.6862,0.98475,0.83904,0.71917,0.84449,0.70892,0.6828,0.6954,0.95166,0.000187092,0.000187092,0.000187092
86,3756.36,0.69836,0.68589,0.99822,0.85327,0.73496,0.83492,0.69674,0.68744,0.72305,0.95429,0.000176094,0.000176094,0.000176094
87,3789.17,0.69372,0.69415,0.99338,0.85769,0.7495,0.83828,0.70222,0.66758,0.71214,0.94288,0.000165095,0.000165095,0.000165095
88,3829.65,0.69002,0.67635,0.99109,0.88181,0.71781,0.84203,0.70636,0.67559,0.70671,0.94814,0.000154096,0.000154096,0.000154096
89,3863.61,0.69699,0.66312,0.99177,0.86552,0.73113,0.83777,0.69227,0.67861,0.71106,0.94816,0.000143097,0.000143097,0.000143097
90,3901.78,0.67307,0.6621,0.98352,0.85709,0.73153,0.83674,0.69605,0.67554,0.71004,0.9462,0.000132098,0.000132098,0.000132098
91,3936.8,0.59765,0.57809,0.92407,0.84397,0.71335,0.84974,0.70402,0.68931,0.70166,0.95241,0.000121099,0.000121099,0.000121099
92,3971.5,0.58699,0.56619,0.91807,0.82666,0.74618,0.84552,0.70527,0.67355,0.69724,0.94479,0.0001101,0.0001101,0.0001101
93,4007.65,0.5869,0.54814,0.91087,0.84904,0.71471,0.84002,0.70064,0.65607,0.71224,0.94133,9.91012e-05,9.91012e-05,9.91012e-05
94,4042.96,0.57758,0.54929,0.9127,0.78838,0.7606,0.83662,0.69811,0.67004,0.72876,0.94408,8.81023e-05,8.81023e-05,8.81023e-05
95,4075.22,0.58239,0.55978,0.91511,0.87327,0.71733,0.83584,0.69907,0.65596,0.73316,0.93724,7.71034e-05,7.71034e-05,7.71034e-05
96,4112.07,0.57886,0.53432,0.91074,0.88176,0.71423,0.83858,0.70317,0.6552,0.73025,0.94237,6.61045e-05,6.61045e-05,6.61045e-05
97,4154.48,0.57515,0.54262,0.91417,0.85794,0.71807,0.84242,0.70574,0.65706,0.72024,0.9422,5.51056e-05,5.51056e-05,5.51056e-05
98,4192.76,0.57006,0.53839,0.91421,0.87834,0.71422,0.83893,0.70284,0.66536,0.72597,0.9441,4.41067e-05,4.41067e-05,4.41067e-05
99,4224.46,0.57038,0.53037,0.90796,0.86687,0.70621,0.83621,0.70126,0.65681,0.72819,0.93875,3.31078e-05,3.31078e-05,3.31078e-05
100,4256.28,0.56681,0.52819,0.90624,0.82731,0.73477,0.83489,0.69744,0.65424,0.72861,0.93851,2.21089e-05,2.21089e-05,2.21089e-05
