epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4118,1.01778,2.97348,1.16269,0.0218,1,0.5448,0.45208,0.70473,2.61871,0.9045,0.00046,0.00046,0.00046
2,139.381,1.05807,2.04878,1.11627,1,0.23974,0.6094,0.42062,0.79184,2.316,0.9674,0.00075388,0.00075388,0.00075388
3,180.391,1.05067,1.43741,1.13157,0.85975,0.6,0.74191,0.59335,0.84614,1.40384,1.04552,0.00085768,0.00085768,0.00085768
4,209.509,0.97872,1.24626,1.09848,0.66988,0.76,0.721,0.60721,0.76994,1.21315,1.01785,0.0007714,0.0007714,0.0007714
5,238.164,0.9341,1.17804,1.09127,0.65797,0.8,0.75326,0.62837,0.72747,1.19954,1.04124,0.000416,0.000416,0.000416
